"FoodID","PyramidCategoryOrder","PyramidCategoryID","HighFat","HighSugar","PyramidValue"
193,3,74,,,3.00
194,1,7,1,0,1.00
194,2,77,,,22.02
194,3,74,,,3.00
195,1,7,0,0,1.00
195,2,77,,,0.00
195,3,74,,,3.00
196,1,7,0,0,1.00
196,2,74,,,3.00
197,1,7,1,0,1.00
197,2,77,,,22.64
197,3,74,,,3.00
198,1,7,1,0,0.81
198,2,74,,,2.43
199,1,7,1,0,1.00
199,2,74,,,3.00
199,3,77,,,20.00
200,1,7,1,0,1.00
200,2,74,,,3.00
200,3,77,,,27.00
201,1,7,1,0,0.22
201,2,74,,,0.68
201,3,77,,,135.00
202,1,7,1,0,0.79
202,2,74,,,2.38
203,1,7,1,0,0.22
203,2,74,,,0.68
203,3,77,,,135.00
204,1,7,1,0,0.84
204,2,74,,,2.54
204,3,77,,,22.00
205,1,7,1,0,0.88
205,2,74,,,2.64
205,3,77,,,57.00
206,1,7,1,0,0.45
206,2,74,,,1.37
207,1,7,1,0,1.00
207,2,74,,,3.00
208,1,7,0,0,1.00
208,2,74,,,3.00
209,1,7,0,0,1.00
209,2,77,,,0.00
209,3,74,,,3.00
210,1,7,0,0,1.00
210,2,77,,,0.00
210,3,74,,,3.00
211,1,7,1,0,0.57
211,2,77,,,24.01
211,3,74,,,1.72
212,1,14,0,0,0.49
212,2,19,0,0,0.81
212,3,21,0,0,1.08
212,4,72,,,0.49
212,5,74,,,2.43
212,6,77,,,47.00
213,1,7,0,0,1.00
213,2,74,,,3.00
214,1,14,0,0,1.11
214,2,19,0,0,0.96
214,3,21,0,0,6.33
214,4,72,,,1.11
214,5,74,,,2.90
214,6,77,,,223.00
215,1,14,0,0,1.70
215,2,19,0,0,0.84
215,3,21,0,0,2.57
215,4,72,,,1.70
215,5,74,,,2.53
215,6,77,,,89.00
216,1,14,0,0,1.18
216,2,19,0,0,0.26
216,3,72,,,1.18
216,4,74,,,0.80
217,1,14,0,0,1.00
217,2,19,0,0,0.50
217,3,72,,,1.00
217,4,74,,,1.50
217,5,77,,,92.00
218,1,14,1,0,2.00
218,2,17,0,0,1.00
218,3,19,0,0,1.00
218,4,71,,,0.50
218,5,72,,,2.00
218,6,74,,,3.00
218,7,77,,,196.00
219,1,7,0,0,1.00
219,2,74,,,3.00
220,1,7,0,0,1.00
220,2,74,,,3.00
222,1,7,0,0,1.00
222,2,74,,,3.00
223,1,6,0,0,2.50
223,2,73,,,1.25
224,1,6,0,0,2.50
224,2,73,,,1.25
225,1,6,0,0,1.45
225,2,73,,,1.09
226,1,6,0,0,1.00
226,2,12,0,0,1.00
226,3,73,,,0.50
226,4,77,,,23.00
227,1,6,0,0,1.00
227,2,73,,,0.50
228,1,6,0,0,1.50
228,2,73,,,0.75
229,1,6,0,0,1.00
229,2,12,0,0,1.00
229,3,73,,,0.50
229,4,77,,,47.00
230,1,6,0,0,1.01
230,2,73,,,0.50
231,1,6,0,0,0.25
231,2,73,,,0.12
232,1,6,0,0,1.25
232,2,12,0,0,3.50
232,3,73,,,0.62
232,4,77,,,65.00
233,1,6,1,0,0.25
233,2,73,,,0.12
233,3,76,,,1.07
234,1,6,0,0,0.26
234,2,73,,,0.13
234,3,76,,,0.72
235,1,6,0,0,1.60
235,2,73,,,0.80
236,1,6,0,0,0.14
236,2,73,,,0.07
237,1,6,0,0,2.00
237,2,73,,,1.00
238,1,6,0,0,2.00
238,2,73,,,1.00
239,1,6,0,0,1.00
239,2,12,0,0,1.00
239,3,73,,,0.50
239,4,77,,,56.00
240,1,6,0,0,2.00
240,2,73,,,1.00
241,1,6,0,0,1.39
241,2,73,,,1.04
242,1,12,0,0,6.73
242,2,77,,,104.00
243,1,6,0,0,1.04
243,2,73,,,0.52
244,1,6,0,0,1.04
244,2,73,,,0.52
245,1,6,0,0,1.00
245,2,12,0,0,1.00
245,3,73,,,0.50
245,4,77,,,30.00
246,1,6,0,0,1.08
246,2,73,,,0.54
247,1,6,0,0,1.04
247,2,73,,,0.52
248,1,6,0,0,1.00
248,2,12,0,0,1.00
248,3,73,,,0.50
248,4,77,,,16.00
249,1,6,0,0,1.45
249,2,73,,,1.08
250,1,6,0,0,1.45
250,2,73,,,1.08
251,1,6,0,0,1.46
251,2,73,,,1.10
253,1,6,0,0,1.45
253,2,73,,,1.08
255,1,6,0,0,3.00
255,2,73,,,1.50
256,1,6,0,0,2.00
256,2,73,,,1.00
257,1,6,0,1,1.33
257,2,73,,,0.99
259,1,6,0,0,1.47
259,2,73,,,0.73
259,3,77,,,39.00
260,1,12,0,0,9.84
260,2,77,,,152.00
